Words;NosionGroup1;NosionGroup2
king cobra;1;
king crab;1;
kinkajou;1;
kiwi;1;
knobbed whelk;1;
koala;1;
komodo dragon;1;
kookaburra;1;
krill;1;
kronosaurus;1;
kudu;1;
labrador retriever;1;
ladybug;1;
lagomorph;1;
lake trout;1;
lanternfish;1;
larva;1;
leafcutter ant;1;
leghorn;1;
lemming;1;
lemon shark;1;
lemur;1;
leopard;1;
lhasa apso;1;
lice;1;
lightning bug;1;
limpet;1;
lion;1;
liopleurodon;1;
lizard;1;
llama;1;
lobster;1;
locust;1;
loggerhead turtle;1;
longhorn;1;
loon;1;
lorikeet;1;
loris;1;
louse;1;
luminous shark;1;
luna moth;1;
lynx;1;
macaque;1;
macaw;1;
mackerel;1;
macrauchenia;1;
maggot;1;
mako shark;1;
mallard duck;1;
mamba;1;
mammal;1;
mammoth;1;
man o war;1;
manatee;1;
mandrill;1;
manta ray;1;
mantid;1;
mantis;1;
marbled murrelet;1;
marine mammals;1;
marmoset;1;
marmot;1;
marsupial;1;
mastiff;1;
mastodon;1;
meadowlark;1;
mealworm;1;
meerkat;1;
megalodon;1;
megamouth shark;1;
merganser;1;
mice;1;
midge;1;
migrate;1;
millipede;1;
mink;1;
minnow;1;
moa;1;
mockingbird;1;
mole;1;
mollusk;1;
monarch butterfly;1;
mongoose;1;
monitor lizard;1;
monkey;1;
monotreme;1;
moose;1;
moray eel;1;
morganucodon;1;
morpho butterfly;1;
mosquito;1;
moth;1;
mountain lion;1;
mouse;1;
mudpuppy;1;
musk ox;1;
muskrat;1;
mussels;1;
mustelids;1;
nabarlek;1;
naked mole rat;1;
nandu;1;
narwhal;1;
nautilus;1;
nene;1;
nest;1;
newt;1;
nightingale;1;
nine banded armadillo;1;
north american beaver;1;
north american porcupine;1;
northern cardinal;1;
northern elephant seal;1;
northern fur seal;1;
northern right whale;1;
numbat;1;
nurse shark;1;
nuthatch;1;
nutria;1;
nymph;1;
ocelot;1;
octopus;1;
okapi;1;
old english sheepdog;1;
onager;1;
opossum;1;
orangutan;1;
orca;1;
oregon silverspot butterfly;1;
oriole;1;
ornitholestes;1;
ornithomimus;1;
oropendola;1;
orthacanthus;1;
oryx;1;
ostrich;1;
otter, river;1;
otter, sea;1;
oviraptor;1;
owl;1;
ox;1;
oxpecker;1;
oyster;1;
painted lady butterfly;1;
painted turtle;1;
panda;1;
pangolin;1;
panther;1;
parakeet;1;
parrot;1;
peacock;1;
peafowl;1;
pekingese;1;
pelican;1;
penguin;1;
peregrine falcon;1;
perissodactyls;1;
petrel;1;
pig;1;
pigeon;1;
pika;1;
pill bug;1;
pinnipeds;1;
piranha;1;
placental mammals;1;
plankton;1;
platybelodon;1;
platypus;1;
ploughshare tortoise;1;
plover;1;
polar bear;1;
polliwog;1;
pomeranian;1;
pompano;1;
pond skater;1;
poodle;1;
porcupine;1;
porpoise;1;
port jackson shark;1;
portuguese water dog;1;
postosuchus;1;
prairie chicken;1;
praying mantid;1;
praying mantis;1;
primates;1;
proboscideans;1;
pronghorn;1;
protozoan;1;
pufferfish;1;
puffin;1;
pug;1;
puma;1;
pupa;1;
pupfish;1;
python;1;
quaesitosaurus;1;
quagga;1;
quail;1;
queen alexandras birdwing;1;
queen conch;1;
quetzal;1;
quokka;1;
quoll;1;
rabbit;1;
raccoon;1;
rat;1;
rattlesnake;1;
ray;1;
red hooded duck;1;
red kangaroo;1;
red panda;1;
red wolf;1;
red tailed hawk;1;
redbilled oxpecker;1;
reindeer;1;
reptile;1;
rhea;1;
rhino;1;
rhinoceros;1;
rhode island red;1;
right whale;1;
ring billed gull;1;
ring tailed lemur;1;
ringtail possum;1;
river otter;1;
roach;1;
roadrunner;1;
robin;1;
rock dove;1;
rockhopper penguin;1;
rodent;1;
rooster;1;
rottweiler;1;
roundworm;1;
ruby throated hummingbird;1;
sailfish;1;
salamander;1;
salmon;1;
sand dollar;1;
sandpiper;1;
scallop;1;
scarlet macaw;1;
scorpion;1;
scottish terrier;1;
sea anemone;1;
sea cow;1;
sea cucumber;1;
sea otter;1;
sea star;1;
sea turtle;1;
sea urchin;1;
sea worm;1;
seahorse;1;
seal;1;
sealion;1;
serval;1;
shark;1;
sheep;1;
shrew;1;
shrimp;1;
siamang;1;
siberian husky;1;
silkworm;1;
silverfish;1;
skink;1;
skipper;1;
skunk;1;
sloth;1;
slow worm;1;
slug;1;
smilodon;1;
snail;1;
snake;1;
snapper;1;
snapping turtle;1;
snow goose;1;
snow leopard;1;
snowy owl;1;
softshell turtle;1;
sparrow;1;
spectacled caiman;1;
spectacled porpoise;1;
spider;1;
spiny anteater;1;
spiny lizard;1;
sponge;1;
spotted owl;1;
springtail;1;
squid;1;
squirrel;1;
st. bernard;1;
starfish;1;
starling;1;
stegosaurus;1;
stingray;1;
stonefly;1;
stork;1;
sugar glider;1;
sunfish;1;
swallowtail butterfly;1;
swan;1;
swift;1;
swordfish;1;
t. rex;1;
tadpole;1;
tamarin;1;
tanager;1;
tapir;1;
tarantula;1;
tarpon;1;
tarsier;1;
tasmanian devil;1;
tasmanian tiger;1;
teratosaurus;1;
termite;1;
tern;1;
terrier;1;
thecodontosaurus;1;
thescelosaurus;1;
three toed sloth;1;
thresher shark;1;
thrip;1;
tick;1;
tiger;1;
tiger shark;1;
tiger swallowtail butterfly;1;
toad;1;
torosaurus;1;
tortoise;1;
toucan;1;
trachodon;1;
tree shrew;1;
tree sparrow;1;
treefrog;1;
triceratops;1;
trilobite;1;
troodon;1;
trout;1;
trumpeter swan;1;
tsetse fly;1;
tuatara;1;
tuna;1;
tundra wolf;1;
turkey;1;
turtle;1;
tyrannosaurus rex;1;
ultrasaurus;1;
ulysses butterfly;1;
umbrellabird;1;
ungulates;1;
uniramians;1;
urchin;1;
utahraptor;1;
valley quail;1;
vampire bat;1;
veiled chameleon;1;
velociraptor;1;
venomous animals;1;
vertebrates;1;
viceroy butterfly;1;
vinegarroon;1;
viper;1;
virginia opossum;1;
vulcanodon;1;
vulture;1;
walkingstick;1;
wallaby;1;
walrus;1;
warthog;1;
wasp;1;
water moccasin;1;
water strider;1;
waterbug;1;
weasel;1;
weddell seal;1;
weevil;1;
west highland white terrier;1;
western meadowlark;1;
western spotted owl;1;
whale;1;
whale shark;1;
whelk;1;
whip scorpion;1;
whippet;1;
white bengal tiger;1;
white dove;1;
white pelican;1;
white rhinoceros;1;
white tiger;1;
white breasted nuthatch;1;
white spotted dolphin;1;
white tailed deer;1;
